Season,Week,Day,Date,Propers,Name,Morning Psalm,Moring First Lesson,Morning Second Lesson,Evening Psalm,Evening First Lesson,Evening Second Lesson,
Advent,1st Week,Sunday,,1st,First Sunday in Advent,Psalm 50,"Malachi 3:1-6, 4:4-6",Luke 1:5-25,"Psalm 48, Psalm 126",Isaiah 62,Matthew 25:1-13,
Advent,1st Week,Sunday,,2nd,First Sunday in Advent,"Psalm 46, Psalm 97",Isaiah 28:14-22,Hebrews 12:14,Psalm 18:1-20,Isaiah 13:6-13,I Thessalonians 5:1-11,
Advent,1st Week,Monday,,,Monday,"Psalm 1, Psalm 3",Isaiah 1:1-9,Mark 1:1-13,"Psalm 4, Psalm 8",Isaiah 1:10-20,Revelation 3:14,
Advent,1st Week,Tuesday,,,Tuesday,Psalm 7,Isaiah 1:21-28,Mark 1:14-28,"Psalm 11, Psalm 12",Isaiah 2:1-5,Revelation 4,
Advent,1st Week,Wednesday,,,Wednesday,Psalm 9,Isaiah 2:6-19,Mark 1:29-39,"Psalm 15, Psalm 19","Isaiah 3:1-3, 8-15",Revelation 5,
Advent,1st Week,Thursday,,,Thursday,Psalm 10,Isaiah 4:2,Mark 1:40,"Psalm 24, Psalm 30",Isaiah 5:1-7,Revelation 6:1-11,
Advent,1st Week,Friday,,,Friday,Psalm 22,Isaiah 5:8-29,Mark 2:1-12,"Psalm 6, Psalm 13",Isaiah 6:1-11,"Revelation 7:1-4, 9-17",
Advent,1st Week,Saturday,,,Saturday,"Psalm 28, Psalm 29",Isaiah 7:1-9,Mark 2:13-22,Psalm 27,Isaiah 7:10-20,Revelation 10,
,,,,,,,,,,,,
Advent,2nd Week,Sunday,,1st,Second Sunday in Advent,Psalm 25,Isaiah 52:1-10,Luke 1:26-56,Psalm 119:89-104,Amos 3:1-8,I Thessalonians 2:1-13,
Advent,2nd Week,Sunday,,2nd,Second Sunday in Advent,Psalm 119:1-1-16 (Section I - II),Isaiah 55,II Timothy 3,"Psalm 67, Psalm 111",Isaiah 11:1-10,John 5:30-40,
Advent,2nd Week,Monday,,,Monday,Psalm 33,"Isaiah 8:5-8, 11-20",Mark 2:23 - 3:6,"Psalm 42, Psalm 43",Isaiah 9:8-17,Revelation 11:15,
Advent,2nd Week,Tuesday,,,Tuesday,Psalm 48,Isaiah 9:18 - 10:4,Mark 3:7-19,"Psalm 46, Psalm 47","Isaiah 10:5-7, 13-21",Revelation 12:1-12,
Advent,2nd Week,Wednesday,,,Wednesday,Psalm 50,Isaiah 11:1-10,Mark 3:20,Psalm 49,Isaiah 12,Revelation 13:1-10,
Advent,2nd Week,Thursday,,,Thursday,"Psalm 62, Psalm 63","Isaiah 13:1-5, 17-22",Mark 4:1-20,Psalm 66,Isaiah 13:6-15,Revelation 14:1-13,
Advent,2nd Week,Friday,,,Friday,Psalm 73,Isaiah 24:16b,Mark 4:21-29,Psalm 77,Isaiah 26:11-19,Revelation 15,
Advent,2nd Week,Saturday,,,Saturday,Psalm 80,Isaiah 28:1-13,Mark 4:30,Psalm 65,Isaiah 28:14-22,Revelation 18:1-10,
,,,,,,,,,,,,
Advent,3rd Week,Sunday,,1st,Third Sunday in Advent,"Psalm 22:23, Psalm 99","Jeremiah 1:4-10, 17-19",Luke 1:57,"Psalm 132, Psalm 134","Nahum 1:3-8, 15",I Corinthians 9:7-23,
Advent,3rd Week,Sunday,,2nd,Third Sunday in Advent,"Psalm 85, Psalm 107:1-16",Isaiah 35,I Thessalonians 5:12-23,"Psalm 30, Psalm 130",Isaiah 26:1-11,Matthew 9:35 - 10:15,
Advent,3rd Week,Monday,,,Monday,Psalm 84,"Isaiah 29:1-4, 9-14",Mark 5:1-20,"Psalm 75, Psalm 76",Isaiah 29:15,Revelation 18:11,
Advent,3rd Week,Tuesday,,,Tuesday,Psalm 90,Isaiah 30:8-17,Mark 5:21,Psalm 91,Isaiah 30:18-26,Revelation 19:1-16,
Advent,3rd Week,Wednesday,,,Ember Wednesday,"Psalm 1, Psalm 15",Jeremiah 23:9-15,Luke 12:35-48,Psalm 92,Jeremiah 23:16-22,Matthew 28:16,
Advent,3rd Week,Thursday,,,Thursday,Psalm 96,"Isaiah 32:1-4, 15-20",Mark 6:1-6,"Psalm 93, Psalm 98",Isaiah 33:1-10,Revelation 20:1-6,
Advent,3rd Week,Friday,,,Ember Friday,Psalm 40:1-16,Jeremiah 23:23-32,II Corinthians 5:5,Psalm 51,"Jeremiah 26:1-7, 10-15",II Timothy 3:14 - 4:8,
Advent,3rd Week,Saturday,,,Ember Saturday,"Psalm 42, Psalm 43",Malachi 2:1-9,Matthew 9:35 - 10:15,Psalm 103,Malachi 3:1-6,Hebrews 4:14 - 5:10,
,,,,,,,,,,,,
Advent,4th Week,Sunday,,1st,Fourth Sunday in Advent,Psalm 80,Isaiah 40:1-11,Luke 3:1-17,Psalm 33,"Isaiah 40:12-18, 21-31",I Thessalonians 3:7,
Advent,4th Week,Sunday,,2nd,Fourth Sunday in Advent,"Psalm 77, Psalm 100",Jeremiah 33:7-16,I Thessalonians 1,"Psalm 102:15, Psalm 146",Isaiah 42:1-16,Matthew 11:11-24,
Advent,4th Week,Monday,,,Monday,Psalm 116,Isaiah 33:13,Luke 1:5-25,Psalm 104,Isaiah 35,Revelation 20:7,
Advent,4th Week,Tuesday,,,Tuesday,"Psalm 130, Psalm 131",Isaiah 25:1-9,Luke 1:26-38,"Psalm 114, Psalm 122","Genesis 49:1-2, 8-10",Revelation 21:1-8,
Advent,4th Week,Wednesday,,,Wednesday,Psalm 132,"Zechariah 8:1-8, 20-23",Luke 1:39-45,Psalm 139,Haggai 2:1-9,Revelation 21:9,
Advent,4th Week,Thursday,,,Thursday,Psalm 144,II Samuel 7:18,Luke 1:46-56,Psalm 145,Zephaniah 3:14,Revelation 22:1-9,
Advent,4th Week,Friday,,,Friday,Psalm 147,I Samuel 2:1b-10,Luke 1:57-66,"Psalm 148, Psalm 150",Jeremiah 23:5-8,Revelation 22:10,
,,,24-Dec,,Christmas Eve,Psalm 50,Baruch 4:36-5:9,Luke 1:67-80,Psalm 85,Zechariah 2:10-13,Matthew 1:18-25,
,,,,,,,,,,,,
,,,25-Dec,,Christmas Day,Psalm 89:1-30,Isaiah 9:2-7,Luke 2:1-20,Psalm 45,"Micah 4:1-5, 5:2-4",I John 4:7-14,
,,,26-Dec,,St. Stephen the Martyr,Psalm 118,II Chronicles 24:17-22,Acts 6,"Psalm 30, Psalm 31:1-6",Wisdom 4:7-15,Acts 7:59 - 8:8,
,,,27-Dec,,St. John the Evangelist,"Psalm 23, Psalm 24",Exodus 33:12-23,"John 13:20-26, 31-35",Psalm 97,Isaiah 6:1-8,Revelation 1,
,,,28-Dec,,The Holy Innocents,"Psalm 8, Psalm 26","Jeremiah 31:1-6, 15-16",Matthew 18:1-14,"Psalm 19, Psalm 126",Isaiah 54:1-13,"Mark 10:13-16, 23-31",
,,,,,,,,,,,,
Christmas,1st Week,Sunday,,1st,First Sunday after Christmas,Psalm 145,Isaiah 9:2-7,Luke 2:1-20,"Psalm 68, Psalm 27",Isaiah 63:7-16,II Peter 1:1-12,
